181.0, 0.1, .3
187.6, .2, .1
189.4, .3, .1
190.4, .4, .5
190.9, .5, 0.5
191.4, .6, .3
191.7, 0.7, .2
191.9, .8, .1
192.1, 0.9, 0
192.3, 1.0, 0
192.4, 1.1, 0
192.5, 1.2, -0.1
192.7, 1.3, -0.1
192.8, 1.4, -.15
192.9, 1.5, -.15
193.1, 1.6, -.19
193.5, 1.5, -.2
193.6, 1.4, -.2
193.7, 1.3, -.2
193.8, 1.2, -.22
194.0, 1.1, -.22
194.1, 1, -.25
194.3, .9, -.25
194.5, .8, -.275
194.7, .7, -.3
195.0, .6, -.4
195.5, .5, -.6
196.1, .4, -.8
197.2, .3, -1.3
199.1, .2, -1.8
206.1, .1, -1.95
